"Name","At. #","Symbol"," BP (K)","MP (K)","Density","at. wt.","Most stable oxidation State","covalent radius","At. Radius   (angstroms)","First IP","specific heat capacity","thermal conductivity","electrical conductivity","heat of fusion","Heat of Vaporization","Electro-  negativity","Years Since Discovery","Family","Group","orbitla","Metal or Non-metal","2nd most stable oxidation state","3rd most stable oxidation state","4th most stable oxidation state","mg/kg crust","mg/L seawater","% human body mass","length of name","Portugues Name"
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hydrogen",1,"H",20.28,13.81,0.09,1.01,1,0.32,0.79,13.6,,0.18,,0.06,0.46,2.2,244,"Hydrogen",1,"s","M",,,,1.40E+03,1.08E+05,1.00E+01,8,"hidrogênio"
"helium",2,"He",4.22,0.95,0.18,4,0,0.93,0.49,24.59,,0.15,,0.02,0.08,,142,"Noble gas",18,"s","N",,,,8.00E-03,7.00E-16,,6,"hélio"
"lithium",3,"Li",1615,453.7,0.53,6.94,1,1.23,2.05,5.39,3.58,84.7,11.7,3,147.1,0.98,193,"Alkali Metal",1,"s","M",,,,2.00E+01,1.80E-01,,7,"lítio"
"beryllium",4,"Be",3243,1560,1.85,9.01,2,0.9,1.4,9.32,1.83,200,25,11.71,297,1.57,212,"Alkaline Earth",2,"s","M",,,,2.80E+00,5.60E-06,,9,"berílio"
"boron",5,"B",4275,2365,2.34,10.81,3,0.82,1.17,5.3,1.03,27,0,22.6,507.8,2.04,202,"Boron",13,"p","N",,,,1.00E+01,4.44E+00,7.00E-05,5,"boro"
"carbon",6,"C",5100,3825,2.26,12.01,4,0.77,0.91,11.26,0.71,,0.07,,715,2.55,"*","Carbon",14,"p","N",2,,,2.00E+02,2.80E+01,2.30E+01,6,"carbono"
"nitrogen",7,"N",77.34,63.15,1.25,14.01,3,0.75,0.75,14.53,1.04,0.03,,0.36,2.79,3.04,238,"Pnictide",15,"p","N",5,4,2,1.90E+01,5.00E+01,2.60E+00,8,"nitrogênio"
"oxygen",8,"O",90.19,54.8,1.43,16,2,0.73,0.65,13.62,0.92,0.27,,0.22,3.41,3.44,236,"Chalcogen",16,"p","N",,,,4.61E+05,8.57E+05,6.10E+01,6,"oxigênio"
"fluorine",9,"F",85,53.55,1.7,19,1,0.72,0.57,17.42,0.82,0.03,,0.26,3.27,3.98,144,"Halogen",17,"p","N",,,,5.85E+02,1.30E+00,3.30E-03,8,"flúor"
"neon",10,"Ne",27.1,24.55,0.9,20.18,0,0.71,0.51,21.56,1.03,0.05,,0.34,1.77,,112,"Noble gas",18,"p","N",,,,5.00E-03,1.20E-04,,4,"neônio"
"sodium",11,"Na",1156,371,0.97,22.99,1,1.54,2.23,5.14,1.23,141,20.1,2.6,98.01,0.93,203,"Alkali Metal",1,"s","M",,,,2.36E-04,1.08E+04,1.40E-01,6,"sódio"
"magnesium",12,"Mg",1380,922,1.74,24.31,2,1.36,1.72,7.65,1.02,156,22.4,8.95,127.6,1.31,202,"Alkaline Earth",2,"s","M",,,,2.33E+04,1.29E+03,2.70E-02,9,"magnésio"
"aluminum",13,"Al",2740,933.5,2.7,26.98,3,1.18,1.62,5.99,0.9,237,37.7,10.7,290.8,1.61,185,"Boron",13,"p","M",,,,8.23E+04,2.00E-03,9.00E-05,8,"alumínio"
"silicon",14,"Si",2630,1683,2.33,28.09,4,1.11,1.44,8.15,0.7,148,0,50.2,359,1.9,186,"Carbon",14,,"N",2,,,2.82E+05,2.20E+00,2.60E-02,7,"silício"
"phosphorus",15,"P",553,317.3,1.82,30.97,5,1.06,1.23,10.49,0.77,0.24,0,0.63,12.4,2.19,341,"Pnictide",15,"p","N",5,4,,1.05E+03,6.00E-02,1.10E+00,10,"fósforo"
"sulfur",16,"S",717.82,392.2,2.07,32.07,6,1.02,1.09,10.36,0.71,0.27,0,1.73,10,2.58,"*","Chalcogen",16,"p","N",4,6,,3.50E+02,9.05E+02,2.00E-01,6,"enxofre"
"chlorine",17,"Cl",239.18,172.17,3.21,35.45,1,0.99,0.97,12.97,0.48,0.01,,3.21,10.2,3.16,236,"Halogen",17,"p","N",3,5,7,1.45E+02,1.94E+04,1.20E-01,8,"cloro"
"argon",18,"Ar",87.45,83.95,1.78,39.95,0,0.98,0.88,15.76,0.52,"0.02 ",,1.19,6.51,,116,"Noble gas",18,"p","N",,,,3.50E+00,4.50E-01,,5,"argônio"
"potassium",19,"K",1033,336.8,0.86,39.1,1,2.03,2.77,4.34,0.76,102.5,16.4,2.33,76.9,0.82,203,"Alkali Metal",1,"s","M",,,,2.09E+04,3.99E+02,2.00E-01,9,"potássio"
"calcium",20,"Ca",1757,1112,1.55,40.08,2,1.74,2.23,6.11,0.65,200,31.3,8.53,154.67,1,202,"Alkaline Earth",2,"s","M",,,,4.15E+04,4.12E+02,1.40E+00,7,"calico"
"scandium",21,"Sc",3109,1814,2.99,44.96,3,1.44,2.09,6.54,0.57,15.8,1.5,16.11,304.8,1.36,140,"Transition Metal",3,"d","M",,,,2.20E+01,6.00E-07,,8,"escândio"
"titanium",22,"Ti",3560,1935,4.54,47.88,4,1.32,2,6.82,0.52,21.9,2.6,18.6,425.2,1.54,219,"Transition Metal",4,"d","M",3,,,5.65E+03,1.00E-03,,8,"titânio"
"vanadium",23,"V",3650,2163,6.11,50.94,5,1.22,1.92,6.74,0.49,30.7,4,22.8,446.7,1.63,180,"Transition Metal",5,"d","M",4,3,2,1.20E+02,2.50E-03,,8,"vanâdio"
"chromium",24,"Cr",2945,2130,7.19,52,3,1.18,1.85,6.77,0.45,93.7,7.9,20,339.5,1.66,213,"Transition Metal",6,"d","M",6,2,,1.02E+02,3.00E-04,3.00E-06,8,"cromo"
"manganese",25,"Mn",2235,1518,7.44,54.94,4,1.17,1.79,7.44,0.48,7.82,0.5,14.64,219.74,1.55,236,"Transition Metal",7,"d","M",2,7,6,9.50E+02,2.00E-04,2.00E-05,9,"manganês"
"iron",26,"Fe",3023,1808,7.87,55.85,3,1.17,1.72,7.87,0.45,80.2,11.2,13.8,349.5,1.83,"*","Transition Metal",8,"d","M",3,,,5.63E+04,2.00E-03,6.00E-03,4,"ferro"
"cobalt",27,"Co",3143,1768,8.9,58.93,2,1.16,1.67,7.86,0.42,100,17.9,16.19,373.3,1.88,275,"Transition Metal",9,"d","M",3,,,2.50E+01,2.00E-05,2.00E-06,6,"cobalto"
"nickel",28,"Ni",3005,1726,8.9,58.69,2,1.15,1.62,7.64,0.44,90.7,14.6,17.2,377.5,1.91,259,"Transition Metal",10,"d","M",3,,,8.40E+01,5.60E-14,1.00E-05,6,"níquel"
"copper",29,"Cu",2840,1356.6,8.96,63.46,2,1.17,1.57,7.73,0.39,401,60.7,13.14,300.5,1.9,"*","Transition Metal",11,"d","M",1,,,6.00E+01,2.50E-14,1.00E-04,6,"cobre"
"zinc",30,"Zn",1180,692.73,7.13,65.39,2,1.25,1.53,9.39,0.39,116,16.9,7.38,115.3,1.65,760,"Transition Metal",12,"d","M",,,,7.00E+01,4.90E-03,3.30E-03,4,"zinco"
